address,unique_sender_nodes_count,unique_receiver_nodes_count,unique_sender_total_amount,unique_receiver_total_amount,cycle_tx_count,bidirectional_counterparties,closeness_centrality,betweenness_centrality,pagerank,degree_centrality,in_neighbor_count,out_neighbor_count,total_in_tx_count,total_out_tx_count,total_in_amount,total_out_amount,avg_in_amount,avg_out_amount,total_in_gas_used,total_out_gas_used,avg_in_gas_used,avg_out_gas_used,active_days,tx_per_day,amount_per_day,recv_gas_efficiency,send_gas_efficiency,first_tx_time,last_tx_time
0xef3fe4aefef55ebf5f322dc89577d326d9c9ab1b,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.6065922728566665e-05,0.00025135101168782207,1,0,2,0,80.0,0.0,40.0,0.0,91148,0,45574.0,0.0,1,2.0,80.0,0.0008776934216878045,0.0,1603778258,1603788627
0xef401d8f36f04ecacc8fd1eb590aff955626b16f,0,0,0.0,0.0,2,0,0.3717724295298593,2.244901428235216e-06,3.799297266814172e-05,0.00025135101168782207,1,1,1,1,9053.0,9053.0,9053.0,9053.0,54186,51125,54186.0,51125.0,2,1.0,9053.0,0.16707267559886319,0.1770757946210269,1619535527,1619768780
0xef447c17c5c67c85c21a00b34815d2ea14a80668,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.611315758618493e-05,0.00025135101168782207,1,1,1,1,512.0,512.0,512.0,512.0,54162,32274,54162.0,32274.0,2,1.0,512.0,0.009453122115136074,0.015864163103426906,1625143119,1634976195
0xef56cf9baae93528d4fdc8e42365f8e0fb2ea829,0,0,0.0,0.0,2,0,0.3717724295298593,2.244901428235216e-06,4.057161978285404e-05,0.00025135101168782207,1,1,1,1,21104.0,21104.0,21104.0,21104.0,53086,51325,53086.0,51325.0,1,2.0,42208.0,0.39754360848434617,0.4111836337067706,1610955722,1610956213
0xef5bc21b740951c6aee30e924e58f354171fb42f,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.7805272811888465e-05,0.00025135101168782207,1,1,1,1,15146.0,15146.0,15146.0,15146.0,54186,32286,54186.0,32286.0,2,1.0,15146.0,0.27951869486583253,0.46911974230316544,1624834235,1634976195
0xef5e98818f9c521dc4a3ca41c86d7c567dce612e,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,0.00011582331559908162,0.00025135101168782207,1,1,1,1,712428.0,712428.0,712428.0,712428.0,54198,32298,54198.0,32298.0,2,1.0,712428.0,13.144913096424222,22.05796024521642,1628680253,1634647654
0xef7a8bdbda231cac9ef6f696288d5c32ce93f8b7,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606075079904366e-05,0.00025135101168782207,1,0,2,0,39.0,0.0,19.5,0.0,91148,0,45574.0,0.0,1,2.0,39.0,0.0004278755430728047,0.0,1603777909,1603787562
0xef7b11c35f6e2ef30a99495f3fa994f70c82d96b,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.6087248571260684e-05,0.00025135101168782207,1,1,1,1,272.0,272.0,272.0,272.0,54186,32286,54186.0,32286.0,2,1.0,272.0,0.005019746798065921,0.008424704206157468,1633683720,1634976195
0xef8400cd4a332809a49611da82c1cffed6c770f6,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.7139658927160886e-05,0.00025135101168782207,1,1,1,1,9680.0,9680.0,9680.0,9680.0,54174,32286,54174.0,32286.0,2,1.0,9680.0,0.1786835013105918,0.2998203555720746,1627238018,1634976195
0xef91f4a17153229f6214a0f2e49c8fcb5e481ac7,0,0,0.0,0.0,2,0,0.3717724295298593,2.244901428235216e-06,3.7659167216399025e-05,0.00025135101168782207,1,1,1,1,7493.0,7493.0,7493.0,7493.0,53086,51325,53086.0,51325.0,1,2.0,14986.0,0.14114832535885166,0.1459912323429128,1616999386,1616999874
0xef934e456a43828d8d2e4859039e8558f73a8719,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603844538,1603844538
0xef9c22c2f060c0c6c302d4e86c5102d2ec03078b,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.61377243406001e-05,0.00025135101168782207,1,1,1,1,709.0,709.0,709.0,709.0,54186,32286,54186.0,32286.0,2,1.0,709.0,0.013084560587605655,0.021959982655020752,1624408831,1634976195
0xef9c6d750bcd3c72156fed68b49e4d8358587e64,0,0,0.0,0.0,9,0,0.37421068411628233,4.849511745832344e-06,6.15724259325165e-05,0.0011310795525951993,2,1,8,1,223892.0,223892.0,27986.5,223892.0,319688,23098,39961.0,23098.0,4,2.25,111946.0,0.7003453367032857,9.693133604641094,1617136698,1617955749
0xef9d710a8b3a4c99c3974a52c0377da6389ec270,4,0,160.0,0.0,5,0,0.2698085129838574,0.006919886451821973,0.00015897466849461382,0.0006283775292195552,4,1,4,1,160.0,160.0,40.0,160.0,122296,104180,30574.0,104180.0,2,2.5,160.0,0.001308301170929548,0.0015358034171626032,1610953288,1620005949
0xefa570efba2e81c0a08dab5cbe88902b232cfb6e,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.75791136440016e-05,0.00025135101168782207,1,1,1,1,13188.0,13188.0,13188.0,13188.0,53086,23086,53086.0,23086.0,2,1.0,13188.0,0.2484270805862186,0.5712553062462098,1615857174,1616131382
0xefaaaed8074a1ccc777d0fb3320269d3d34c0671,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,3.608794160241867e-05,0.00025135101168782207,1,1,1,1,278.0,278.0,278.0,278.0,54186,32286,54186.0,32286.0,2,1.0,278.0,0.005130476506846787,0.008610543269528589,1628739271,1634976195
0xefaacb90fd93ddb71fcc2c64e386b2a2a9b4dace,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.6745763670010646e-05,0.00025135101168782207,1,1,1,1,6162.0,6162.0,6162.0,6162.0,54186,32286,54186.0,32286.0,2,1.0,6162.0,0.11371941091794928,0.19085671808214086,1625717042,1634976195
0xefab63ba49bdbe5dc33e6d95cd0b5a50b2cab92b,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603844563,1603844563
